thickness_cm,energy_mev,w_H,density_g_cm3,transmitted_dose_mgy
6.28,69.37,0.1359,0.9247,0.0441
19.37,450.26,0.0967,0.9032,31.4454
7.53,169.36,0.1032,0.9068,11.2298
18.07,288.15,0.031,0.867,9.5576
11.97,342.69,0.1193,0.9156,29.0854
10.88,120.83,0.0475,0.8761,0.0775
1.57,136.86,0.0206,0.8613,17.6012
17.33,243.19,0.0315,0.8673,3.9507
7.76,257.64,0.0669,0.8868,24.2783
10.74,176.41,0.11,0.9105,6.1009
8.38,270.14,0.0468,0.8757,24.9876
9.54,77.91,0.1457,0.9301,0.0451
19.65,442.29,0.1125,0.9119,29.7202
10.82,10.62,0.0974,0.9036,0.0
12.3,468.3,0.0855,0.897,47.1301
10.9,280.0,0.0935,0.9014,21.7789
2.41,404.67,0.147,0.9308,56.3051
2.59,284.59,0.1493,0.9321,37.5865
5.75,253.52,0.1059,0.9082,27.2312
9.99,487.9,0.0335,0.8684,54.0358
10.18,416.59,0.1192,0.9156,43.2127
9.86,449.24,0.1019,0.906,48.6962
1.87,465.83,0.0735,0.8904,66.0629
13.4,299.0,0.0736,0.8905,19.8012
10.98,230.67,0.1124,0.9118,13.9053
3.97,444.61,0.125,0.9187,59.269
5.79,316.16,0.0443,0.8744,36.4652
2.67,292.83,0.1193,0.9156,38.5946
12.63,132.19,0.1277,0.9202,0.0738
8.97,270.43,0.1249,0.9187,23.7918
11.46,220.95,0.1037,0.907,11.6165
7.76,430.63,0.0632,0.8848,50.0509
9.96,398.43,0.0713,0.8892,41.1361
19.26,115.8,0.0609,0.8835,0.1237
5.67,221.34,0.0793,0.8936,22.8382
13.41,76.84,0.0683,0.8876,0.2374
16.41,237.42,0.1293,0.9211,4.8204
15.26,327.7,0.0757,0.8916,20.0823
13.9,362.18,0.0934,0.9014,28.4516
15.04,103.64,0.1248,0.9186,0.0
1.69,209.72,0.0693,0.8881,28.5058
4.55,267.83,0.1088,0.9098,31.6346
17.28,236.48,0.1411,0.9276,3.3305
13.17,372.18,0.0879,0.8983,30.8755
14.7,76.28,0.089,0.899,0.1376
7.29,173.82,0.0479,0.8763,12.6033
17.89,63.46,0.0606,0.8833,0.0
19.5,474.69,0.0245,0.8635,34.5937
16.83,488.85,0.0385,0.8712,41.9344
17.85,429.57,0.1488,0.9318,30.8799
10.55,255.4,0.0864,0.8975,18.7589
9.0,198.65,0.1006,0.9053,12.7752
9.19,283.1,0.0914,0.9003,25.1259
17.11,464.94,0.1016,0.9059,37.6896
6.63,95.53,0.0236,0.863,1.4998
13.68,179.85,0.0856,0.8971,1.4462
9.64,113.92,0.1179,0.9148,0.0
8.95,366.9,0.1312,0.9222,38.1592
