run_id,topology_tier,topology_name,topology_idx,voxel_seed,voxel_nx,voxel_ny,voxel_nz,regolith_volume_fraction_target,hdpe_volume_fraction_target,thickness_cm,w_regolith,w_hdpe,density_g_cm3,areal_density_g_cm2,H_mass_fraction,C_mass_fraction,O_mass_fraction,Si_mass_fraction,Al_mass_fraction,Ca_mass_fraction,Fe_mass_fraction,Mg_mass_fraction,Na_mass_fraction,K_mass_fraction,Mn_mass_fraction,P_mass_fraction,Ti_mass_fraction,mean_excitation_ev
0,3,tier3_voxel_grid,3,20260907,64,64,64,0.2906213805,0.7093786195,2.89677641,0.5425285234,0.4574714766,1.473118485,4.267294877,0.06574909081,0.3917223858,0.2490015795,0.1261567901,0.07645221751,0.05309179564,0.01366700089,0.009476390782,0.010394271,0.001550833086,0.0002553175868,0.0004076539778,0.002074673292,85.96543539
1,3,tier3_voxel_grid,3,20260908,64,64,64,0.4459259161,0.5540740839,7.590653086,0.6996745616,0.3003254384,1.752666649,13.30388451,0.04316361901,0.2571618194,0.321126104,0.1626987209,0.09859697594,0.06847009371,0.01762571449,0.01222127368,0.0134050224,0.002000039468,0.0003292715735,0.0005257329447,0.00267561255,99.16139272
2,3,tier3_voxel_grid,3,20260909,64,64,64,0.2251658772,0.7748341228,3.491121011,0.4568780429,0.5431219571,1.355298579,4.731511346,0.07805901943,0.4650629377,0.2096910106,0.1062400682,0.0643824942,0.04471004683,0.01150935361,0.007980326725,0.008753298655,0.001305998772,0.0002150098923,0.0003432965153,0.001747138874,79.73860261
3,3,tier3_voxel_grid,3,20260910,64,64,64,0.000680213059,0.9993197869,14.94622936,0.001966503324,0.9980334967,0.9512243835,14.21721781,0.1434401889,0.8545933078,0.0009025561105,0.0004572805601,0.0002771163789,0.0001924418498,4.953878279e-05,3.434907691e-05,3.767611766e-05,5.621305216e-06,9.254497441e-07,1.477623513e-06,7.520068992e-06,55.02384439
4,3,tier3_voxel_grid,3,20260911,64,64,64,0.2886833324,0.7113166676,3.668137606,0.5401898199,0.4598101801,1.469629998,5.390805064,0.06608521588,0.3937249642,0.2479281966,0.12561296,0.0761226513,0.05286293031,0.0136080859,0.009435540454,0.01034946393,0.001544147836,0.0002542169771,0.0004058966844,0.002065729899,85.78704374
5,3,tier3_voxel_grid,3,20260912,64,64,64,0.1058896298,0.8941103702,2.881872552,0.255300843,0.744699157,1.140601334,3.287067676,0.1070302631,0.6376688939,0.11717414,0.05936634383,0.03597657033,0.02498371901,0.006431361113,0.004459361031,0.004891293334,0.0007297846603,0.0001201463008,0.0001918321336,0.0009762912319,67.26919573
6,3,tier3_voxel_grid,3,20260913,64,64,64,0.1391806034,0.8608193966,14.88199059,0.3188160446,0.6811839554,1.200525086,17.86620304,0.0979016792,0.5832822762,0.1463253917,0.07413584185,0.04492702694,0.03119931129,0.008031391856,0.005568786333,0.00610817722,0.0009113446554,0.0001500369835,0.0002395572272,0.00121917854,70.89993863
7,3,tier3_voxel_grid,3,20260914,64,64,64,0.3864075701,0.6135924299,5.849194801,0.6457606219,0.3542393781,1.645533626,9.625046731,0.05091228247,0.3033270956,0.2963814951,0.1501618509,0.0909995132,0.06319408011,0.01626755205,0.01127955442,0.01237208851,0.001845924951,0.0003038993095,0.0004852222046,0.002469441251,94.35170024
8,3,tier3_voxel_grid,3,20260915,64,64,64,0.3918392489,0.6081607511,10.46815721,0.6509702186,0.3490297814,1.655310648,17.32805209,0.05016354454,0.2988662368,0.2987725174,0.1513732637,0.09173364091,0.0637038908,0.01639878858,0.01137055088,0.01247189885,0.00186081673,0.0003063509808,0.0004891366768,0.002489363173,94.80289648
9,3,tier3_voxel_grid,3,20260916,64,64,64,0.1860771689,0.8139228311,5.929608776,0.3982385566,0.6017614434,1.284938904,7.619185002,0.08648685178,0.5152745916,0.1827775414,0.09260434396,0.05611911529,0.03897159163,0.01003214849,0.006956065947,0.007629828301,0.001138376146,0.000187413754,0.0002992350166,0.001522896699,75.81565998
10,3,tier3_voxel_grid,3,20260917,64,64,64,0.2373765145,0.7626234855,5.342257848,0.4739678879,0.5260321121,1.377277726,7.357772741,0.07560281871,0.4504292934,0.2175346505,0.1102140528,0.06679076674,0.04638245762,0.01193986909,0.008278836467,0.009080721956,0.001354850575,0.0002230524887,0.0003561377633,0.001812491834,80.93227077
11,3,tier3_voxel_grid,3,20260918,64,64,64,0.07495090718,0.9250490928,11.96694015,0.1899832101,0.8100167899,1.084911633,12.98307258,0.1164178975,0.6935988923,0.08719563557,0.04417771772,0.02677211811,0.01859174095,0.004785924776,0.003318452512,0.003639876776,0.0005430723645,8.940738164e-05,0.0001427526996,0.0007265112802,63.78908484
12,3,tier3_voxel_grid,3,20260919,64,64,64,0.05972357206,0.9402764279,11.58606842,0.1553091686,0.8446908314,1.05750243,12.25229551,0.1214013485,0.7232894828,0.07128146564,0.03611479459,0.02188590982,0.01519854217,0.003912440459,0.002712798148,0.002975558921,0.0004439556388,7.308954354e-05,0.0001166987497,0.0005939149192,62.03887773
13,3,tier3_voxel_grid,3,20260920,64,64,64,0.1737840635,0.8262159365,1.695643937,0.3784462249,0.6215537751,1.262811314,2.141278349,0.08933146151,0.5322223136,0.1736935547,0.08800193703,0.05333001281,0.03703471572,0.009533553848,0.006610351645,0.007250628221,0.001081799208,0.0001780993491,0.0002843631299,0.001447209209,74.5493799
14,3,tier3_voxel_grid,3,20260921,64,64,64,0.2171454592,0.7828545408,13.5798933,0.4453479105,0.5546520895,1.340861826,18.20876053,0.07971616258,0.4749359269,0.2043990839,0.1035589106,0.06275768711,0.04358170904,0.01121889454,0.007778928945,0.008532393548,0.001273039563,0.0002095837341,0.0003346328154,0.001703046708,78.94638477
15,3,tier3_voxel_grid,3,20260922,64,64,64,0.1827494998,0.8172505002,2.523715553,0.3929484955,0.6070515045,1.2789491,3.227703735,0.08724715429,0.5198043503,0.1803495887,0.09137422037,0.05537364867,0.03845390669,0.009898884952,0.00686366401,0.007528476341,0.001123254357,0.0001849242155,0.0002952600837,0.001502667074,75.47443687
16,3,tier3_voxel_grid,3,20260923,64,64,64,0.4137341888,0.5862658112,13.8582923,0.6713604521,0.3286395479,1.69472154,23.48594646,0.04723300267,0.2814065452,0.30813092,0.1561147036,0.09460699871,0.06569927734,0.01691244515,0.01172670878,0.0128625541,0.001919102788,0.0003159467624,0.0005044578248,0.002567337088,96.59636736
17,3,tier3_voxel_grid,3,20260924,64,64,64,0.09397268645,0.9060273135,9.404950812,0.23091158,0.76908842,1.119150836,10.52555856,0.1105355568,0.6585528632,0.105980323,0.05369499017,0.03253967595,0.02259698779,0.005816963778,0.004033351749,0.004424020927,0.0006600672642,0.0001086685489,0.0001735061293,0.0008830247025,65.94081219
18,3,tier3_voxel_grid,3,20260925,64,64,64,0.1962948915,0.8037051085,4.088120733,0.4141780044,0.5858219956,1.303330805,5.328173685,0.08419598939,0.5016260062,0.1900931893,0.09631082109,0.05836527576,0.04053142465,0.01043368396,0.007234481605,0.007935211212,0.001183939507,0.0001949149658,0.0003112118602,0.001583850446,76.85623395
19,3,tier3_voxel_grid,3,20260926,64,64,64,0.003951688922,0.9960483111,5.263215513,0.0113540868,0.9886459132,0.9571130401,5.0374922,0.1420909789,0.8465549343,0.005211127943,0.002640220898,0.001599999035,0.001111109979,0.0002860242507,0.0001983227773,0.0002175322589,3.245597736e-05,5.343309923e-06,8.531419915e-06,4.341895335e-05,55.42182619
20,3,tier3_voxel_grid,3,20260927,64,64,64,0.0528847475,0.9471152525,9.367919915,0.1391447502,0.8608552498,1.045192546,9.791280062,0.1237245444,0.7371307055,0.06386256406,0.03235600394,0.01960804685,0.01361669354,0.003505237683,0.002430452909,0.002665865811,0.0003977491929,6.548245907e-05,0.0001045528639,0.0005321008657,61.24485964
21,3,tier3_voxel_grid,3,20260928,64,64,64,0.008299967362,0.9917000326,4.549464192,0.0236542289,0.9763457711,0.9649399413,4.389959711,0.1403231678,0.8360226033,0.01085646211,0.005500432625,0.003333314609,0.002314800849,0.0005958808679,0.000413170381,0.0004531899338,6.761628046e-05,1.113183986e-05,1.777370237e-05,9.045569925e-05,55.94915468
22,3,tier3_voxel_grid,3,20260929,64,64,64,0.3718530987,0.6281469013,11.82823224,0.63149111,0.36850889,1.619335578,19.15387729,0.05296313697,0.3155457531,0.2898322891,0.146843692,0.0889886773,0.06179766687,0.01590808444,0.01103030767,0.01209869979,0.001805135149,0.0002971839808,0.0004745001448,0.002414873474,93.13019952
23,3,tier3_voxel_grid,3,20260930,64,64,64,0.1062706158,0.8937293842,11.52438354,0.2560654469,0.7439345531,1.141287108,13.15263036,0.1069203721,0.637014181,0.1175250664,0.05954414088,0.03608431704,0.02505854308,0.006450622482,0.00447271643,0.004905942333,0.0007319703021,0.0001205061285,0.0001924066542,0.0009792151395,67.31141436
24,3,tier3_voxel_grid,3,20260931,64,64,64,0.1453340485,0.8546659515,11.41896338,0.3298681155,0.6701318845,1.211601287,13.83523073,0.0963132444,0.5738186401,0.1513979049,0.07670583353,0.0464844664,0.03228086602,0.008309807933,0.005761833773,0.006319923175,0.0009429373119,0.0001552381627,0.0002478617135,0.00126144256,71.55814168
25,3,tier3_voxel_grid,3,20260932,64,64,64,0.1579243956,0.8420756044,10.17280086,0.3518632309,0.6481367691,1.234263912,12.55592098,0.09315204437,0.5549847247,0.1614928921,0.08182046445,0.0495839815,0.03443330617,0.008863893569,0.006146024282,0.006741326255,0.00100581097,0.0001655892126,0.000264388764,0.001345553674,72.89239442
