run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events,target_dose_sv_per_particle_shrunk,target_dose_sv_per_particle_shrunk_sem,target_dose_sv_per_particle_gp_only,target_secondary_neutrons_shrunk,target_secondary_neutrons_shrunk_sem,target_secondary_neutrons_gp_only
0,6.639443076880144,0.1920618567281157,231.3570852319424,9.799867164532196e-14,0.0664,0.1399,0.9343,0.0548,0.0,0.0002,2.081453058189084e-16,0.0044498409082135,0.0021239604815484,0.0670156763285174,0.0377,1.7612732095490715,-30.022176844001805,0.651409591380475,10000,9.792524464006318e-14,8.689354012920702e-16,9.780330333120839e-14,0.06718889755303736,0.003955392904390955,0.0701587128671084
1,10.65349123172878,0.1931560505709857,300.64137933754125,7.935275169216799e-14,0.1008,0.2229,0.8953,0.0843,0.0001,0.0003,2.3723385989125006e-16,0.0057712448160403,0.0029896110069572,0.0572544128575432,0.0543,1.856353591160221,-30.26596303260989,0.7590786568415318,10000,7.936705913619797e-14,8.681782061878672e-16,7.938915811208338e-14,0.09993429019279819,0.0047984989087919505,0.09799555154199986
2,13.854229362781425,0.218966503324204,5594.274502626339,1.2431057920032e-13,0.5283,1.325,0.8291,0.2387,0.2234,0.0087,1.5435198851564466e-15,0.0155584098612853,0.0124166414080425,0.0294499524158344,0.1745,3.0275071633237824,-30.31122556946074,1.04322739771456,10000,1.2493042999089805e-13,1.2730536225134625e-15,1.2531737477404274e-13,0.5378899350468656,0.0076620481904158795,0.5409604244984608
3,4.402463064579641,0.3171602942553581,173.03998549332994,7.300008897544018e-14,0.0473,0.095,0.9542,0.0347,0.0,0.0,1.3661796276078446e-16,0.0037050835030234,0.0018714766608948,0.0783315751167746,0.0262,1.8053435114503815,-30.30105486130992,0.5709769970784553,10000,7.264835184181013e-14,8.593237675995899e-16,7.206676816545843e-14,0.047746142180688365,0.003406120129966743,0.050180767351827735
4,7.723323925545913,0.4364160445804736,126.2156393597328,2.0915506270617e-14,0.0514,0.1462,0.8766,0.0144,0.0,0.0001,8.047267540352072e-17,0.0035237828685335,0.0038475126713319,0.0685560869364501,0.0321,1.601246105919003,-31.672477854156234,1.1139014529692393,10000,1.9981923461417417e-14,8.552148487731672e-16,1.842728722487809e-14,0.05077585959621334,0.003261638728343804,0.047043039864688996
5,14.101879105263343,0.5620745270993925,55.19152134540765,1.2789495841367189e-17,0.0027,0.0208,0.0,0.0,0.0,0.0,2.242478354342821e-18,0.0008884536763351,0.1753375099501264,0.3290569171611782,0.0014,1.9285714285714288,-36.03512889238873,2.2528810492735114,10000,1.807551062431294e-16,8.685388381726645e-16,5.28601071801493e-16,0.002711194189776082,0.0008840712913194252,0.0038375208127256755
6,11.576275442394737,0.270838556613743,2847.6317369599137,8.133083792248999e-14,0.436,0.9003,0.8421,0.2001,0.0815,0.0017,9.037806839493703e-16,0.0137335086895553,0.0111123985321618,0.031498873141182,0.1579,2.7612412919569347,-30.54054978614668,0.8251543761505244,10000,8.150648005214238e-14,1.041812746193874e-15,8.167043535559497e-14,0.4264035974755227,0.0073241950945962895,0.42258937754643267
7,6.951357757630788,0.4755470075886156,17.70980412294754,1.732793867e-18,0.0,0.0027,0.0,0.0,0.0,0.0,6.855893335057261e-19,0.0,0.3956554478650668,,0.0,0.0,-35.82265448107545,2.2244730599152707,10000,0.0,8.533403512139903e-16,-3.949474695556184e-17,0.0,1e-15,0.00045219456583917017
8,4.968735087360645,0.3508425019363357,15.172828814996782,4.668431645400002e-19,0.0,0.0012,0.0,0.0,0.0,0.0,3.237398326366713e-19,0.0,0.6934659372289741,,0.0,0.0,-37.432920272058624,3.3095398353034766,10000,0.0,8.514945802834226e-16,-9.6553123354574e-17,0.0,1e-15,-0.00026206674114354067
9,12.255591164852651,0.2775946649037018,16.620110316220735,9.811485000000001e-19,0.0,0.0005,0.0,0.0,0.0,0.0,6.3676557431925345e-19,0.0,0.6490002016200945,,0.0,0.0,-34.17739084665435,1.3194149658151817,10000,0.0,8.532235883816966e-16,-8.560648799116577e-17,0.0,1e-15,0.0002832205174508884
10,5.995715553211527,0.5763484954581973,347.81503336969377,7.085053239737804e-14,0.1018,0.1969,0.9157,0.0787,0.0,0.0004,2.839786340373754e-16,0.0052579882696773,0.0040081369105969,0.0516501794663784,0.056,1.8178571428571428,-30.37930983761439,0.670260409996195,10000,7.080022270393423e-14,8.797146066436205e-16,7.07198503419041e-14,0.10149699569961522,0.0044969604683612165,0.10067160148977607
11,13.18587570941034,0.6419142072880712,71.38731657476782,2.2590669047100006e-17,0.0078,0.0301,0.0,0.0,0.0,0.0,3.55184720855938e-18,0.0015146436592616,0.1572262955627396,0.1941850845207215,0.0043,1.813953488372093,-35.92027266866279,1.866161484518902,10000,0.0,8.639777281568491e-16,-2.7021915312832735e-16,0.007640241943464386,0.0014932256389477599,0.0021108756828174258
12,1.0081207326168689,0.2018446710344278,57.74922778858903,2.2953140747793e-14,0.0044,0.0218,0.9823,0.0077,0.0,0.0001,2.8064362155540265e-17,0.0007733846471072,0.0012226806982063,0.1757692379789252,0.0037,1.1891891891891893,-31.426008500696994,0.3651008019811579,10000,2.3134770005094774e-14,8.663455917173617e-16,2.3498066874821086e-14,0.0043991039531782634,0.0007704870147137642,0.004280197105006128
13,10.812415069382965,0.6834626624378594,238.96519089245191,7.365224922172932e-14,0.1536,0.2571,0.8308,0.0776,0.0,0.0002,2.705661821580134e-16,0.0067959784087541,0.0036735630617807,0.0442446510986601,0.0851,1.8049353701527613,-30.48743349040683,1.3632566349555608,10000,7.508139806211332e-14,8.794687238617056e-16,7.743757752657718e-14,0.1497924242384819,0.0053816888770362,0.1433894272670391
14,7.4241308590479775,0.6634542289006882,17.07400799306104,1.05390207e-18,0.0,0.0017,0.0,0.0,0.0,0.0,4.721768415270099e-19,0.0,0.448027245574164,,0.0,0.0,-35.44547503289692,1.64529960406982,10000,3.5608667052676695e-17,8.611185270187706e-16,1.0018618840983357e-16,0.0,1e-15,0.000401560266302059
